Catalog,Cabinet_section,Cabinet_label,SKU,Cabinet_color,Weight,Cost,Details,Manufacture_date,Image,Quantity,Assemble_cost
ARTSTAR,"Base Cabinets","Base Cabinet 9"" W",A-BT9,"Shaker White",38,395,"W9"" D24"" H34 1/2""",,BT9.PNG,3,20
ARTSTAR,"Base Cabinets","Base Cabinet 12"" W",A-B12,"Shaker White",51,530,"W12"" D24"" H34 1/2""",,B12.PNG,10,25
ARTSTAR,"Base Cabinets","Base Cabinet 15"" W",A-B15,"Shaker White",57,570,"W15"" D24"" H34 1/2""",,B15.PNG,0,25
ARTSTAR,"Base Cabinets","Base Cabinet 18"" W",A-B18,"Shaker White",62,620,"W18"" D24"" H34 1/2""",,B18.PNG,0,25
ARTSTAR,"Base Cabinets","Base Cabinet 21"" W",A-B21,"Shaker White",66,665,"W21"" D24"" H34 1/2""",,B21.PNG,0,25
ARTSTAR,"Base Cabinets","Base Cabinet 24"" W",A-B24,"Shaker White",72,740,"W24"" D24"" H34 1/2""",,B24.PNG,0,25
ARTSTAR,"Base Cabinets","Base Cabinet 27"" W",A-B27,"Shaker White",78,795,"W27"" D24"" H34 1/2""",,B27.PNG,0,25
ARTSTAR,"Base Cabinets","Base Cabinet 30"" W",A-B30,"Shaker White",89,998,"W30"" D24"" H34 1/2""",2024-04-23,B30.PNG,14,25
ARTSTAR,"Base Cabinets","Base Cabinet 33"" W",A-B33,"Shaker White",94,1060,"W33"" D24"" H34 1/2""",,B33.PNG,0,25
ARTSTAR,"Base Cabinets","Base Cabinet 36"" W",A-B36,"Shaker White",100,1145,"W36"" D24"" H34 1/2""",,B36.PNG,11,25
ARTSTAR,"Base Cabinets","Sink Base 33"" W",A-SB33,"Shaker White",72,760,"W33"" D24"" H34 1/2""",,SB33.PNG,14,25
ARTSTAR,"Base Cabinets","Sink Base 36"" W",A-SB36,"Shaker White",76,785,"W36"" D24"" H34 1/2""",,SB36.PNG,2,25
ARTSTAR,"Base Cabinets","Drawer Base 36"" W",A-CSB36,"Shaker White",132,1360,"W36"" D24"" H34 1/2""",,Corner_Sink_Base_36_and_42.PNG,2,25
ARTSTAR,"Base Cabinets","Drawer Base 12"" W",A-DB12-3,"Shaker White",75,882,"W12"" D24"" H34 1/2""",,3DB12.PNG,17,20
ARTSTAR,"Base Cabinets","Drawer Base 15"" W",A-DB15-3,"Shaker White",82,950,"W15"" D24"" H34 1/2""",,3DB15.PNG,8,25
ARTSTAR,"Base Cabinets","Drawer Base 18"" W",A-DB18-3,"Shaker White",89,980,"W18"" D24"" H34 1/2""",,3DB18.PNG,1,25
ARTSTAR,"Base Cabinets","Drawer Base 24"" W",A-DB24-3,"Shaker White",102,1074,"W24"" D24"" H34 1/2""",,3DB24.PNG,13,25
ARTSTAR,"Base Cabinets","Drawer Base 30"" 3 DEEP DRAWERS",A-DB30-3,"Shaker White",117,1200,"W30"" D24"" H34 1/2""",,3DB30.PNG,14,25
