Catalog,Cabinet_section,Cabinet_label,SKU,Cabinet_color,Weight,Cost,Details,Manufacture_date,Image,Quantity,Assemble_cost
"Semi Custom","Base Cabinets","Essex Truffle 30"" 2 Drawer Base",KET-2DB30,"Essex Truffle",88.6,1115,"Essex Truffle 30"" 2 Drawer Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 36"" 2 Drawer Base",KET-2DB36,"Essex Truffle",93.7,1296,"Essex Truffle 36"" 2 Drawer Base",,,100,20
"Semi Custom","Wall Cabinets","Essex Truffle 30"" Angle Wall",KET-AW30,"Essex Truffle",18.3,368,"Essex Truffle 30"" Angle Wall",,,100,
"Semi Custom","Wall Cabinets","Essex Truffle 36"" Angle Wall",KET-AW36,"Essex Truffle",20.5,446,"Essex Truffle 36"" Angle Wall",,,100,
"Semi Custom","Base Cabinets","Essex Truffle 12"" Base",KET-B12,"Essex Truffle",41.5,538,"Essex Truffle 12"" Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base",KET-B15,"Essex Truffle",47,576,"Essex Truffle 15"" Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Soft-Close Rollouts",KET-B15SCRT,"Essex Truffle",61.6,766,"Essex Truffle 15"" Base w/ Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Soft-Close Trash",KET-B15SFTTR-DMK,"Essex Truffle",73,1414,"Essex Truffle 15"" Base w/ Soft-Close Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Charging Drawer",KET-B18CHGDR18,"Essex Truffle",64.8,2030,"Essex Truffle 18"" Base w/ Charging Drawer",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Soft-Close Rollouts",KET-B18SCRT,"Essex Truffle",65.2,822,"Essex Truffle 18"" Base w/ Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Soft-Close Trash",KET-B18SFTTR-DMK,"Essex Truffle",74.8,1485,"Essex Truffle 18"" Base w/ Soft-Close Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Door Mounted Trash",KET-B18TR-DMK,"Essex Truffle",60.8,1054,"Essex Truffle 18"" Base w/ Door Mounted Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Trash",KET-B18TR,"Essex Truffle",59.8,976,"Essex Truffle 18"" Base w/ Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Two-Tier Cutlery Drawer",KET-B18TTCD,"Essex Truffle",54.8,1134,"Essex Truffle 18"" Base w/ Two-Tier Cutlery Drawer",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base",KET-B18,"Essex Truffle",49.8,616,"Essex Truffle 18"" Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 21"" Base",KET-B21,"Essex Truffle",54.2,651,"Essex Truffle 21"" Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 21"" Base w/ Soft-Close Rollouts",KET-B21SCRT,"Essex Truffle",70,875,"Essex Truffle 21"" Base w/ Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 24"" Base",KET-B24B,"Essex Truffle",58.7,734,"Essex Truffle 24"" Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 24"" Base w/ Soft-Close Rollouts",KET-B24BSCRT,"Essex Truffle",76.3,974,"Essex Truffle 24"" Base w/ Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 27"" Base",KET-B27B,"Essex Truffle",64.1,774,"Essex Truffle 27"" Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 27"" Base w/ Soft-Close Rollouts",KET-B27BSCRT,"Essex Truffle",82.7,1030,"Essex Truffle 27"" Base w/ Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 30"" Base",KET-B30B,"Essex Truffle",67.3,820,"Essex Truffle 30"" Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 30"" Base w/ Soft-Close Rollouts",KET-B30BSCRT,"Essex Truffle",87.1,1094,"Essex Truffle 30"" Base w/ Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 33"" Base",KET-B33,"Essex Truffle",80.7,1000,"Essex Truffle 33"" Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 36"" Base",KET-B36,"Essex Truffle",84.8,1042,"Essex Truffle 36"" Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 36"" Base w/ Soft-Close Rollouts",KET-B36SCRT,"Essex Truffle",115.6,1454,"Essex Truffle 36"" Base w/ Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 42"" Base",KET-B42,"Essex Truffle",91.8,1172,"Essex Truffle 42"" Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 42"" Base w/ Soft-Close Rollouts",KET-B42SCRT,"Essex Truffle",123.4,1620,"Essex Truffle 42"" Base w/ Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 36/39"" Blind Base",KET-BBC36/39,"Essex Truffle",57.4,798,"Essex Truffle 36/39"" Blind Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 42/45"" Blind Base",KET-BBC42/45,"Essex Truffle",68.5,894,"Essex Truffle 42/45"" Blind Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 9"" Full-Height Base",KET-BF09,"Essex Truffle",28.4,373,"Essex Truffle 9"" Full-Height Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 9"" Full-Height Base w/ Pullout",KET-BF09PO,"Essex Truffle",40,797,"Essex Truffle 9"" Full-Height Base w/ Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 9"" Full-Height Base w/ Tray Pullout",KET-BF09TRAYDIVPO,"Essex Truffle",40,1113,"Essex Truffle 9"" Full-Height Base w/ Tray Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Desk Base",KET-BFD1821,"Essex Truffle",56.9,905,"Essex Truffle 18"" Desk Base",,,100,20
"Semi Custom","Tall Cabinets","Essex Truffle 84"" Combination Oven Cabinet",KET-COC3384,"Essex Truffle",174.16,2138,"Essex Truffle 84"" Combination Oven Cabinet",,,100,143
"Semi Custom","Tall Cabinets","Essex Truffle 90"" Combination Oven Cabinet",KET-COC3390,"Essex Truffle",186.6,2468,"Essex Truffle 90"" Combination Oven Cabinet",,,100,143
"Semi Custom","Tall Cabinets","Essex Truffle 96"" Combination Oven Cabinet",KET-COC3396,"Essex Truffle",199.1,2856,"Essex Truffle 96"" Combination Oven Cabinet",,,100,143
"Semi Custom","Base Cabinets","Essex Truffle 12"" Drawer Base",KET-DB12,"Essex Truffle",65.1,914,"Essex Truffle 12"" Drawer Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Drawer Base",KET-DB15,"Essex Truffle",73.4,938,"Essex Truffle 15"" Drawer Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Drawer Base",KET-DB18,"Essex Truffle",78.2,985,"Essex Truffle 18"" Drawer Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Drawer Base w/ Charging Drawer",KET-DB18CHGDR18,"Essex Truffle",93.2,2399,"Essex Truffle 18"" Drawer Base w/ Charging Drawer",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Drawer Base w/ Two-Tier Cutlery Drawer",KET-DB18TTCD,"Essex Truffle",83.2,1503,"Essex Truffle 18"" Drawer Base w/ Two-Tier Cutlery Drawer",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 36"" Diagonal Sink Base",KET-DSB36,"Essex Truffle",57,1127,"Essex Truffle 36"" Diagonal Sink Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 36"" Diagonal Sink Base w/ Tilt-Out Tray",KET-DSB36TLT,"Essex Truffle",60,1199,"Essex Truffle 36"" Diagonal Sink Base w/ Tilt-Out Tray",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 21"" Drawer Base",KET-DB21,"Essex Truffle",84.6,1043,"Essex Truffle 21"" Drawer Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 24"" Drawer Base",KET-DB24,"Essex Truffle",90.2,1110,"Essex Truffle 24"" Drawer Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 30"" Drawer Base",KET-DB30,"Essex Truffle",103,1286,"Essex Truffle 30"" Drawer Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 36"" Drawer Base",KET-DB36,"Essex Truffle",114.9,1549,"Essex Truffle 36"" Drawer Base",,,100,20
"Semi Custom","Tall Cabinets","Essex Truffle 84"" Double Oven Cabinet",KET-DOC3384,"Essex Truffle",174.16,2138,"Essex Truffle 84"" Double Oven Cabinet",,,100,143
"Semi Custom","Tall Cabinets","Essex Truffle 90"" Double Oven Cabinet",KET-DOC3390,"Essex Truffle",186.6,2468,"Essex Truffle 90"" Double Oven Cabinet",,,100,143
"Semi Custom","Tall Cabinets","Essex Truffle 96"" Double Oven Cabinet",KET-DOC3396,"Essex Truffle",199.1,2856,"Essex Truffle 96"" Double Oven Cabinet",,,100,143
"Semi Custom","Base Cabinets","Essex Truffle 30"" Farm Sink Base",KET-FSB30B,"Essex Truffle",40.3,698,"Essex Truffle 30"" Farm Sink Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 36"" Farm Sink Base",KET-FSB36,"Essex Truffle",45.4,731,"Essex Truffle 36"" Farm Sink Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 30"" Microwave Base",KET-MB30,"Essex Truffle",62.8,820,"Essex Truffle 30"" Microwave Base",,,100,20
"Semi Custom","Wall Cabinets","Essex Truffle 30""x30"" Microwave Wall",KET-MW3030B,"Essex Truffle",46.3,737,"Essex Truffle 30""x30"" Microwave Wall",,,100,14
"Semi Custom","Wall Cabinets","Essex Truffle 30""x36"" Microwave Wall",KET-MW3036B,"Essex Truffle",52.5,863,"Essex Truffle 30""x36"" Microwave Wall",,,100,14
"Semi Custom","Wall Cabinets","Essex Truffle 30""x42"" Microwave Wall",KET-MW3042B,"Essex Truffle",64.2,1003,"Essex Truffle 30""x42"" Microwave Wall",,,100,14
"Semi Custom","Base Cabinets","Essex Truffle 24"" Sink Base",KET-SB24B,"Essex Truffle",58.7,589,"Essex Truffle 24"" Sink Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 27"" Sink Base",KET-SB27B,"Essex Truffle",64.1,596,"Essex Truffle 27"" Sink Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 30"" Sink Base w/ Tilt-Out Tray",KET-SB30BTLT,"Essex Truffle",45.4,707,"Essex Truffle 30"" Sink Base w/ Tilt-Out Tray",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 30"" Sink Base",KET-SB30B,"Essex Truffle",41.4,602,"Essex Truffle 30"" Sink Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 33"" Sink Base w/ Tilt-Out Trays",KET-SB33TLT2,"Essex Truffle",51.6,791,"Essex Truffle 33"" Sink Base w/ Tilt-Out Trays",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 33"" Sink Base",KET-SB33,"Essex Truffle",45.6,659,"Essex Truffle 33"" Sink Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 36"" Sink Base w/ Tilt-Out Trays",KET-SB36TLT2,"Essex Truffle",53.4,817,"Essex Truffle 36"" Sink Base w/ Tilt-Out Trays",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 36"" Sink Base",KET-SB36,"Essex Truffle",47.4,673,"Essex Truffle 36"" Sink Base",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 42"" Sink Base",KET-SB42,"Essex Truffle",53.6,758,"Essex Truffle 42"" Sink Base",,,100,20
